Code,Product Name,Price
— 771476 TOMATOES 10.71 E,TOMATOES,10.71
— 798463 SLICED JALAPENOS 9.12 £,SLICED JALAPENOS,9.12
— 228486 SLICED TOMATOES 3.05 —,SLICED TOMATOES,3.05
— 606791 GROUND TURKEY 1.57 £,GROUND TURKEY,1.57
— 409018 GREEK YOGURT 9.45 H,GREEK YOGURT,9.45
— 902601 GREEK YOGURT 7.34 —,GREEK YOGURT,7.34
— 386504 CHOPPED ONIONS 10.85 F,CHOPPED ONIONS,10.85
— 164982 CHERRY TOMATOES 3.01 E,CHERRY TOMATOES,3.01
— 806286 WHOLE GRAIN BREAD 9.66 A,WHOLE GRAIN BREAD,9.66
— 322790 PINEAPPLE CHUNKS 1.40 E,PINEAPPLE CHUNKS,1.40
— 329943 TUNA FISH 5.73 E,TUNA FISH,5.73
— 955801 GREEN PEPPERS 7.26 A,GREEN PEPPERS,7.26
— 415987 SLICED SWISS CHEESE 6.18 A,SLICED SWISS CHEESE,6.18
— 964387 SLICED APPLES 11.49 A,SLICED APPLES,11.49
— 455309 WHOLE MILK 10.12 A,WHOLE MILK,10.12
— 892972 ORGANIC MILK 4.69 E,ORGANIC MILK,4.69
— 981091 SLICED CHEESE 7.32 £,SLICED CHEESE,7.32
— 315087 PEAR SAUCE 9.12 E,PEAR SAUCE,9.12
— 167617 GARLIC POWDER 9.57 F,GARLIC POWDER,9.57
— 228720 GREEN BEANS 12.98 H,GREEN BEANS,12.98
— 860715 SLICED TOMATOES 4.70 E,SLICED TOMATOES,4.70
— 410120 MARINARA SAUCE 7.54 E,MARINARA SAUCE,7.54
— 378735 WHOLE OATS 7.86 N,WHOLE OATS,7.86
— 688874 CORN CHIPS 3.34 F,CORN CHIPS,3.34
— 998513 FROZEN BERRIES 1.68 F,FROZEN BERRIES,1.68
— 537348 FRUIT JUICE 7.07 N,FRUIT JUICE,7.07
— 875340 BEEF STEAK 7.31 E,BEEF STEAK,7.31
— 954118 MUSHROOMS 5.56 E,MUSHROOMS,5.56
— 571623 SLICED SWISS CHEESE 5.51 F,SLICED SWISS CHEESE,5.51
— 773766 SLICED CHICKEN 9.04 £,SLICED CHICKEN,9.04
— 379597 TUNA FISH 9.62 —,TUNA FISH,9.62
— 398974 WHOLE WHEAT BREAD 7.62 F,WHOLE WHEAT BREAD,7.62
— 331267 TUNA FISH 2.02 £,TUNA FISH,2.02
— 467958 GROUND BEEF 5.38 —,GROUND BEEF,5.38
— 999423 FRENCH FRIES 12.49 H,FRENCH FRIES,12.49
— 809375 WHOLE WHEAT BREAD 4.95 F,WHOLE WHEAT BREAD,4.95
— 389264 GARLIC CLUMPS 2.35 F,GARLIC CLUMPS,2.35
— 853735 GROUND TURKEY 11.65 A,GROUND TURKEY,11.65
— 615535 MUSHROOMS 1.22 £,MUSHROOMS,1.22
— 650165 SLICED APPLES 8.38 N,SLICED APPLES,8.38
— 269559 WHOLE GRAIN CEREAL 5.03 A,WHOLE GRAIN CEREAL,5.03
— 691673 BEEF TACOS 8.91 —,BEEF TACOS,8.91
— 847892 SLICED SWISS CHEESE 9.12 H,SLICED SWISS CHEESE,9.12
— 457303 ALMOND BUTTER 7.10 E,ALMOND BUTTER,7.10
— 120171 PUMPKIN PUREE 2.32 H,PUMPKIN PUREE,2.32
— 996269 SMOKED SALMON 6.43 A,SMOKED SALMON,6.43
— 341671 SMOKED SALMON 11.22 N,SMOKED SALMON,11.22
— 628873 MUSHROOMS 11.83 H,MUSHROOMS,11.83
— 553268 GARLIC CLUMPS 4.26 £,GARLIC CLUMPS,4.26
— 592850 GREEN PEPPERS 2.99 F,GREEN PEPPERS,2.99
— 857400 ALMOND BUTTER 11.16 H,ALMOND BUTTER,11.16
— 716154 SLICED CHICKEN 6.04 F,SLICED CHICKEN,6.04
— 895565 PEAR SAUCE 8.41 £,PEAR SAUCE,8.41
— 822663 FRUIT SNACKS 3.83 E,FRUIT SNACKS,3.83
— 940682 WHOLE OATS 4.98 £,WHOLE OATS,4.98
— 438625 WHOLE GRAIN CEREAL 3.52 £,WHOLE GRAIN CEREAL,3.52
— 518715 SLICED SWISS CHEESE 7.72 £,SLICED SWISS CHEESE,7.72
— 666715 WHOLE WHEAT PASTA 2.55 £,WHOLE WHEAT PASTA,2.55
— 529665 WHOLE WHEAT BREAD 11.34 £,WHOLE WHEAT BREAD,11.34
— 260423 CHEESE STICKS 9.36 F,CHEESE STICKS,9.36
— 444384 FROZEN FRUIT 6.49 H,FROZEN FRUIT,6.49
— 499275 FROZEN BERRIES 1.71 —,FROZEN BERRIES,1.71
— 998809 PEAR SAUCE 2.38 E,PEAR SAUCE,2.38
— 576051 SWEET POTATOES 9.66 £,SWEET POTATOES,9.66
— 904829 PASTA SAUCE 8.78 A,PASTA SAUCE,8.78
— 989057 PUMPKIN PUREE 9.74 H,PUMPKIN PUREE,9.74
— 292448 MARINARA SAUCE 2.37 £,MARINARA SAUCE,2.37
— 762624 FROZEN CHICKEN 9.06 —,FROZEN CHICKEN,9.06
— 735063 FROZEN FRUIT 12.30 E,FROZEN FRUIT,12.30
— 700248 BROCCOLI FLORETS 5.05 F,BROCCOLI FLORETS,5.05
— 667437 GARLIC POWDER 10.05 A,GARLIC POWDER,10.05
— 579556 SLICED MUSHROOMS 9.05 F,SLICED MUSHROOMS,9.05
— 696316 WHOLE MILK 11.76 A,WHOLE MILK,11.76
— 877824 WHOLE GRAIN BREAD 11.85 —,WHOLE GRAIN BREAD,11.85
— 808917 SLICED MUSHROOMS 7.44 E,SLICED MUSHROOMS,7.44
— 454904 CORN CHIPS 6.51 —,CORN CHIPS,6.51
— 759351 SLICED SWISS CHEESE 6.25 A,SLICED SWISS CHEESE,6.25
— 721792 APPLE JUICE 12.98 F,APPLE JUICE,12.98
— 274239 GARLIC POWDER 3.83 A,GARLIC POWDER,3.83
— 355699 WHOLE WHEAT BREAD 9.47 F,WHOLE WHEAT BREAD,9.47
— 799182 GREEK YOGURT 7.60 F,GREEK YOGURT,7.60
— 993519 YOGURT 10.39 —,YOGURT,10.39
— 509392 CINNAMON ROLLS 12.22 —,CINNAMON ROLLS,12.22
— 456413 FROZEN CARROTS 11.72 E,FROZEN CARROTS,11.72
— 572503 PINEAPPLE CHUNKS 4.95 F,PINEAPPLE CHUNKS,4.95
— 592755 FROZEN FRUIT 10.45 A,FROZEN FRUIT,10.45
— 450764 MUSHROOMS 7.80 —,MUSHROOMS,7.80
— 420016 APPLE JUICE 4.16 £,APPLE JUICE,4.16
— 709411 TUNA FISH 2.89 H,TUNA FISH,2.89
— 734106 SLICED MUSHROOMS 4.74 A,SLICED MUSHROOMS,4.74
— 684813 SWEET CORN 2.69 H,SWEET CORN,2.69
— 803697 YOGURT 6.77 A,YOGURT,6.77
— 255751 GREEN PEPPERS 10.15 H,GREEN PEPPERS,10.15
— 951662 CINNAMON ROLLS 1.79 A,CINNAMON ROLLS,1.79
— 125195 ALMOND BUTTER 3.54 F,ALMOND BUTTER,3.54
— 299575 SLICED MUSHROOMS 1.04 E,SLICED MUSHROOMS,1.04
— 754085 WHOLE GRAIN BREAD 2.07 H,WHOLE GRAIN BREAD,2.07
— 731271 APPLE JUICE 11.91 H,APPLE JUICE,11.91
— 755469 WHOLE WHEAT BREAD 1.01 A,WHOLE WHEAT BREAD,1.01
— 670126 RED GRAPES 6.19 H,RED GRAPES,6.19
— 233023 CORN CHIPS 10.47 F,CORN CHIPS,10.47
— 800177 SLICED TOMATOES 3.76 H,SLICED TOMATOES,3.76
— 241026 GARLIC CLUMPS 1.75 £,GARLIC CLUMPS,1.75
— 289943 CHOPPED ONIONS 7.27 F,CHOPPED ONIONS,7.27
— 373125 GREEK YOGURT 3.47 H,GREEK YOGURT,3.47
— 983626 TUNA FISH 1.60 H,TUNA FISH,1.60
— 980690 SLICED TOMATOES 1.71 E,SLICED TOMATOES,1.71
— 833395 SLICED CHEESE 4.45 A,SLICED CHEESE,4.45
— 826913 CHOCOLATE SAUCE 8.92 A,CHOCOLATE SAUCE,8.92
— 972134 BEEF TACOS 6.00 N,BEEF TACOS,6.00
— 952412 GREEN BEANS 9.51 H,GREEN BEANS,9.51
— 419944 GRANOLA 2.84 E,GRANOLA,2.84
— 288746 APPLE JUICE 12.23 F,APPLE JUICE,12.23
— 604162 SLICED CHICKEN 11.22 —,SLICED CHICKEN,11.22
— 581416 SLICED MUSHROOMS 11.47 A,SLICED MUSHROOMS,11.47
— 424752 BROWN RICE CAKES 4.66 N,BROWN RICE CAKES,4.66
— 890353 TOMATOES 7.97 A,TOMATOES,7.97
— 329159 WHOLE WHEAT PASTA 11.05 H,WHOLE WHEAT PASTA,11.05
— 705928 GARLIC CLUMPS 9.09 —,GARLIC CLUMPS,9.09
