i,o
APPLE.COM/BILL $248.72 07/04,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $351.46 12/25,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $496.93 06/25,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $461.92 11/03,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $100.49 08/14,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $189.42 06/19,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $444.73 01/05,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $156.08 11/27,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $390.58 06/19,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $129.55 09/14,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $99.6 10/19,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $416.15 03/25,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $267.8 03/02,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $185.39 12/10,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $266.63 12/14,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $408.01 10/15,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $78.13 01/07,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $157.86 12/07,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $242.22 03/10,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $477.29 06/23,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $217.93 12/25,"('Apple/iTunes', 'Subscription')"
ITUNES.COM $429.82 11/09,"('Apple/iTunes', 'Subscription')"
NETFLIX.COM $423.51 07/30,"('Netflix', 'Subscription')"
NETFLIX.COM $464.32 10/30,"('Netflix', 'Subscription')"
NETFLIX.COM $51.95 12/13,"('Netflix', 'Subscription')"
NETFLIX.COM $78.78 10/09,"('Netflix', 'Subscription')"
NETFLIX.COM $285.04 11/16,"('Netflix', 'Subscription')"
NETFLIX.COM $148.02 08/14,"('Netflix', 'Subscription')"
NETFLIX.COM $339.49 04/16,"('Netflix', 'Subscription')"
NETFLIX.COM $178.98 05/07,"('Netflix', 'Subscription')"
NETFLIX.COM $118.21 03/13,"('Netflix', 'Subscription')"
NETFLIX.COM $246.55 05/08,"('Netflix', 'Subscription')"
NETFLIX.COM $6.55 06/28,"('Netflix', 'Subscription')"
NETFLIX.COM $339.18 05/22,"('Netflix', 'Subscription')"
NETFLIX.COM $195.99 02/07,"('Netflix', 'Subscription')"
NETFLIX.COM $454.4 12/05,"('Netflix', 'Subscription')"
NETFLIX.COM $125.12 04/15,"('Netflix', 'Subscription')"
NETFLIX.COM $470.72 02/16,"('Netflix', 'Subscription')"
NETFLIX.COM $155.79 12/26,"('Netflix', 'Subscription')"
NETFLIX.COM $161.93 12/27,"('Netflix', 'Subscription')"
NETFLIX.COM $169.04 04/11,"('Netflix', 'Subscription')"
NETFLIX.COM $56.76 04/27,"('Netflix', 'Subscription')"
NETFLIX SUB $423.61 07/08,"('Netflix', 'Subscription')"
NETFLIX SUB $26.81 11/28,"('Netflix', 'Subscription')"
NETFLIX SUB $123.29 08/19,"('Netflix', 'Subscription')"
NETFLIX SUB $196.28 10/25,"('Netflix', 'Subscription')"
NETFLIX SUB $296.92 09/14,"('Netflix', 'Subscription')"
NETFLIX SUB $40.59 11/02,"('Netflix', 'Subscription')"
NETFLIX SUB $127.59 10/01,"('Netflix', 'Subscription')"
NETFLIX SUB $247.86 03/24,"('Netflix', 'Subscription')"
NETFLIX SUB $499.85 10/09,"('Netflix', 'Subscription')"
NETFLIX SUB $104.38 04/29,"('Netflix', 'Subscription')"
NETFLIX SUB $75.73 06/13,"('Netflix', 'Subscription')"
NETFLIX SUB $302.67 08/24,"('Netflix', 'Subscription')"
NETFLIX SUB $221.45 10/26,"('Netflix', 'Subscription')"
NETFLIX SUB $456.38 06/12,"('Netflix', 'Subscription')"
NETFLIX SUB $472.77 11/29,"('Netflix', 'Subscription')"
NETFLIX SUB $496.4 04/28,"('Netflix', 'Subscription')"
NETFLIX SUB $418.95 03/27,"('Netflix', 'Subscription')"
NETFLIX SUB $280.24 03/03,"('Netflix', 'Subscription')"
NETFLIX SUB $51.95 06/27,"('Netflix', 'Subscription')"
NETFLIX SUB $186.71 06/06,"('Netflix', 'Subscription')"
UBER TRIP $364.8 11/10,"('Uber', 'Transportation')"
UBER TRIP $12.8 10/04,"('Uber', 'Transportation')"
UBER TRIP $493.73 05/26,"('Uber', 'Transportation')"
UBER TRIP $318.08 12/31,"('Uber', 'Transportation')"
UBER TRIP $106.71 12/10,"('Uber', 'Transportation')"
UBER TRIP $333.47 09/10,"('Uber', 'Transportation')"
UBER TRIP $211.58 01/03,"('Uber', 'Transportation')"
UBER TRIP $390.13 01/06,"('Uber', 'Transportation')"
UBER TRIP $469.75 02/07,"('Uber', 'Transportation')"
UBER TRIP $212.88 02/28,"('Uber', 'Transportation')"
UBER TRIP $281.86 09/07,"('Uber', 'Transportation')"
UBER TRIP $308.44 07/04,"('Uber', 'Transportation')"
UBER TRIP $347.07 02/25,"('Uber', 'Transportation')"
UBER TRIP $350.67 09/20,"('Uber', 'Transportation')"
UBER TRIP $454.38 04/07,"('Uber', 'Transportation')"
UBER TRIP $472.46 09/05,"('Uber', 'Transportation')"
UBER TRIP $203.76 05/30,"('Uber', 'Transportation')"
UBER TRIP $62.52 03/11,"('Uber', 'Transportation')"
UBER TRIP $441.16 09/01,"('Uber', 'Transportation')"
UBER TRIP $63.79 04/09,"('Uber', 'Transportation')"
UBER EATS $273.88 10/22,"('Uber', 'Food Delivery')"
UBER EATS $22.52 10/04,"('Uber', 'Food Delivery')"
UBER EATS $253.84 01/14,"('Uber', 'Food Delivery')"
UBER EATS $415.66 03/01,"('Uber', 'Food Delivery')"
UBER EATS $31.13 03/18,"('Uber', 'Food Delivery')"
UBER EATS $38.37 12/26,"('Uber', 'Food Delivery')"
UBER EATS $319.3 07/28,"('Uber', 'Food Delivery')"
UBER EATS $129.94 02/02,"('Uber', 'Food Delivery')"
UBER EATS $29.45 04/13,"('Uber', 'Food Delivery')"
UBER EATS $255.08 06/01,"('Uber', 'Food Delivery')"
UBER EATS $218.39 08/16,"('Uber', 'Food Delivery')"
UBER EATS $392.17 07/21,"('Uber', 'Food Delivery')"
UBER EATS $67.26 07/04,"('Uber', 'Food Delivery')"
UBER EATS $363.04 02/06,"('Uber', 'Food Delivery')"
UBER EATS $373.19 01/21,"('Uber', 'Food Delivery')"
UBER EATS $307.79 04/29,"('Uber', 'Food Delivery')"
UBER EATS $264.84 02/07,"('Uber', 'Food Delivery')"
UBER EATS $134.87 11/21,"('Uber', 'Food Delivery')"
UBER EATS $59.95 11/09,"('Uber', 'Food Delivery')"
UBER EATS $159.7 09/08,"('Uber', 'Food Delivery')"
WALMART 1234 $56.94 01/29,"('Walmart', 'Retail')"
WALMART 1234 $80.45 10/15,"('Walmart', 'Retail')"
WALMART 1234 $52.47 12/25,"('Walmart', 'Retail')"
WALMART 1234 $99.33 12/03,"('Walmart', 'Retail')"
WALMART 1234 $296.63 11/01,"('Walmart', 'Retail')"
WALMART 1234 $234.6 08/19,"('Walmart', 'Retail')"
WALMART 1234 $95.79 12/11,"('Walmart', 'Retail')"
WALMART 1234 $78.57 04/08,"('Walmart', 'Retail')"
WALMART 1234 $115.84 09/15,"('Walmart', 'Retail')"
WALMART 1234 $87.52 02/27,"('Walmart', 'Retail')"
WALMART 1234 $276.87 09/30,"('Walmart', 'Retail')"
WALMART 1234 $102.5 01/17,"('Walmart', 'Retail')"
WALMART 1234 $208.31 03/11,"('Walmart', 'Retail')"
WALMART 1234 $210.54 10/07,"('Walmart', 'Retail')"
WALMART 1234 $449.91 11/19,"('Walmart', 'Retail')"
WALMART 1234 $291.48 11/06,"('Walmart', 'Retail')"
WALMART 1234 $174.25 08/23,"('Walmart', 'Retail')"
WALMART 1234 $194.61 08/10,"('Walmart', 'Retail')"
WALMART 1234 $478.81 01/25,"('Walmart', 'Retail')"
WALMART 1234 $459.87 07/16,"('Walmart', 'Retail')"
WALMART GROC 5678 $231.32 12/09,"('Walmart', 'Retail')"
WALMART GROC 5678 $435.68 10/04,"('Walmart', 'Retail')"
WALMART GROC 5678 $54.65 06/13,"('Walmart', 'Retail')"
WALMART GROC 5678 $160.95 05/25,"('Walmart', 'Retail')"
WALMART GROC 5678 $124.02 10/04,"('Walmart', 'Retail')"
WALMART GROC 5678 $375.94 03/27,"('Walmart', 'Retail')"
WALMART GROC 5678 $420.79 01/19,"('Walmart', 'Retail')"
WALMART GROC 5678 $391.68 06/16,"('Walmart', 'Retail')"
WALMART GROC 5678 $15.83 09/27,"('Walmart', 'Retail')"
WALMART GROC 5678 $355.94 11/25,"('Walmart', 'Retail')"
WALMART GROC 5678 $489.04 10/24,"('Walmart', 'Retail')"
WALMART GROC 5678 $317.66 08/02,"('Walmart', 'Retail')"
WALMART GROC 5678 $323.39 07/14,"('Walmart', 'Retail')"
WALMART GROC 5678 $43.92 05/17,"('Walmart', 'Retail')"
WALMART GROC 5678 $312.49 05/03,"('Walmart', 'Retail')"
WALMART GROC 5678 $406.69 03/31,"('Walmart', 'Retail')"
WALMART GROC 5678 $198.11 07/07,"('Walmart', 'Retail')"
WALMART GROC 5678 $99.16 06/08,"('Walmart', 'Retail')"
WALMART GROC 5678 $159.09 09/21,"('Walmart', 'Retail')"
WALMART GROC 5678 $134.45 03/03,"('Walmart', 'Retail')"
SPOTIFY USA $14.88 07/20,"('Spotify', 'Subscription')"
SPOTIFY USA $246.78 05/24,"('Spotify', 'Subscription')"
SPOTIFY USA $438.59 07/26,"('Spotify', 'Subscription')"
SPOTIFY USA $144.84 11/26,"('Spotify', 'Subscription')"
SPOTIFY USA $198.53 03/21,"('Spotify', 'Subscription')"
SPOTIFY USA $320.49 07/07,"('Spotify', 'Subscription')"
SPOTIFY USA $226.52 06/02,"('Spotify', 'Subscription')"
SPOTIFY USA $156.51 02/15,"('Spotify', 'Subscription')"
SPOTIFY USA $355.9 04/22,"('Spotify', 'Subscription')"
SPOTIFY USA $433.72 03/27,"('Spotify', 'Subscription')"
SPOTIFY USA $251.97 04/09,"('Spotify', 'Subscription')"
SPOTIFY USA $334.34 09/29,"('Spotify', 'Subscription')"
SPOTIFY USA $480.06 05/10,"('Spotify', 'Subscription')"
SPOTIFY USA $308.5 05/09,"('Spotify', 'Subscription')"
SPOTIFY USA $492.57 12/15,"('Spotify', 'Subscription')"
SPOTIFY USA $27.29 11/27,"('Spotify', 'Subscription')"
SPOTIFY USA $294.46 03/27,"('Spotify', 'Subscription')"
SPOTIFY USA $301.74 12/21,"('Spotify', 'Subscription')"
SPOTIFY USA $250.13 02/22,"('Spotify', 'Subscription')"
SPOTIFY USA $70.05 09/28,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $74.21 04/30,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $276.54 11/15,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $113.26 06/28,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $379.29 07/07,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $34.9 09/17,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $265.84 08/22,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $498.07 08/08,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $275.5 04/28,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $120.37 03/08,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $71.05 09/10,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $135.12 06/22,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $408.58 05/11,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $78.02 03/17,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $196.0 01/03,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $312.37 07/13,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $340.57 03/17,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $30.81 08/15,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $499.31 06/23,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $94.25 05/26,"('Spotify', 'Subscription')"
SPOTIFY PREMIUM $483.33 01/17,"('Spotify', 'Subscription')"
PAYPAL *MERCHANT $66.07 08/29,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $336.55 06/20,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $8.05 12/17,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $437.48 03/17,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $276.97 10/01,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $38.78 01/15,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $490.14 06/20,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $388.58 01/14,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $320.92 12/19,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $464.66 05/16,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $460.2 04/05,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $77.17 03/25,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $17.25 06/29,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $345.55 07/20,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $63.27 06/12,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $61.62 10/25,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $446.37 05/17,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $315.43 11/05,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $384.79 05/30,"('PayPal', 'Payment')"
PAYPAL *MERCHANT $247.53 06/22,"('PayPal', 'Payment')"
PAYPAL *EBAY $292.63 03/28,"('PayPal', 'Payment')"
PAYPAL *EBAY $126.77 08/25,"('PayPal', 'Payment')"
PAYPAL *EBAY $480.99 02/17,"('PayPal', 'Payment')"
PAYPAL *EBAY $16.99 06/22,"('PayPal', 'Payment')"
PAYPAL *EBAY $240.06 05/29,"('PayPal', 'Payment')"
PAYPAL *EBAY $233.61 01/10,"('PayPal', 'Payment')"
PAYPAL *EBAY $12.45 02/03,"('PayPal', 'Payment')"
PAYPAL *EBAY $283.34 12/22,"('PayPal', 'Payment')"
PAYPAL *EBAY $222.47 12/17,"('PayPal', 'Payment')"
PAYPAL *EBAY $12.4 01/15,"('PayPal', 'Payment')"
PAYPAL *EBAY $489.25 05/08,"('PayPal', 'Payment')"
PAYPAL *EBAY $53.59 01/06,"('PayPal', 'Payment')"
PAYPAL *EBAY $434.38 02/03,"('PayPal', 'Payment')"
PAYPAL *EBAY $308.39 12/22,"('PayPal', 'Payment')"
PAYPAL *EBAY $218.6 05/23,"('PayPal', 'Payment')"
PAYPAL *EBAY $328.28 11/06,"('PayPal', 'Payment')"
PAYPAL *EBAY $222.25 05/19,"('PayPal', 'Payment')"
PAYPAL *EBAY $499.92 03/28,"('PayPal', 'Payment')"
PAYPAL *EBAY $54.64 10/11,"('PayPal', 'Payment')"
PAYPAL *EBAY $317.23 08/09,"('PayPal', 'Payment')"
GOOGLE *SERVICE $424.16 01/25,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $97.94 07/14,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $155.6 12/30,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $202.76 07/17,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $16.69 06/05,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $199.54 04/10,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $331.97 07/15,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $172.91 07/17,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $82.06 03/17,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $29.62 04/15,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $219.18 04/21,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $340.85 04/14,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $256.93 04/13,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $168.05 11/02,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $117.23 10/08,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $219.7 06/24,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $438.29 11/14,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $432.12 04/11,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $203.27 04/09,"('Google Play', 'Subscription')"
GOOGLE *SERVICE $29.61 12/21,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $147.1 10/04,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $323.21 04/22,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $452.04 08/21,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $390.07 03/30,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $405.29 04/18,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $302.43 09/12,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $255.02 03/10,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $93.09 07/15,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $97.59 11/13,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $330.16 10/07,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $321.42 12/31,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $297.49 12/12,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $332.94 01/18,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $411.26 11/23,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $333.84 06/26,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $67.13 01/13,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $284.21 02/02,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $152.6 11/25,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $283.38 12/24,"('Google Play', 'Subscription')"
GOOGLE *SUBSCRIPTION $317.69 03/04,"('Google Play', 'Subscription')"
STARBUCKS $97.01 12/30,"('Starbucks', 'Food & Beverage')"
STARBUCKS $112.89 07/30,"('Starbucks', 'Food & Beverage')"
STARBUCKS $24.02 10/25,"('Starbucks', 'Food & Beverage')"
STARBUCKS $318.93 09/17,"('Starbucks', 'Food & Beverage')"
STARBUCKS $159.03 11/06,"('Starbucks', 'Food & Beverage')"
STARBUCKS $433.85 08/05,"('Starbucks', 'Food & Beverage')"
STARBUCKS $185.85 03/13,"('Starbucks', 'Food & Beverage')"
STARBUCKS $344.12 08/20,"('Starbucks', 'Food & Beverage')"
STARBUCKS $492.1 02/03,"('Starbucks', 'Food & Beverage')"
STARBUCKS $292.73 12/02,"('Starbucks', 'Food & Beverage')"
STARBUCKS $452.52 03/28,"('Starbucks', 'Food & Beverage')"
STARBUCKS $240.96 01/24,"('Starbucks', 'Food & Beverage')"
STARBUCKS $63.4 10/21,"('Starbucks', 'Food & Beverage')"
STARBUCKS $390.92 04/18,"('Starbucks', 'Food & Beverage')"
STARBUCKS $223.06 01/03,"('Starbucks', 'Food & Beverage')"
STARBUCKS $17.43 03/24,"('Starbucks', 'Food & Beverage')"
STARBUCKS $107.01 07/08,"('Starbucks', 'Food & Beverage')"
STARBUCKS $151.35 02/13,"('Starbucks', 'Food & Beverage')"
STARBUCKS $109.69 06/10,"('Starbucks', 'Food & Beverage')"
STARBUCKS $161.73 09/22,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $325.65 06/26,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $454.08 06/07,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $268.28 10/02,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $12.58 04/01,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $117.04 06/25,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $344.56 08/10,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $385.7 12/14,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $423.22 09/10,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $300.79 07/21,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $261.95 09/24,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $159.39 03/18,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $261.84 02/05,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $204.94 04/08,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $130.51 01/14,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $291.87 06/19,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $498.72 03/11,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $315.38 07/19,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $250.68 04/23,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $458.88 11/12,"('Starbucks', 'Food & Beverage')"
STARBUCKS COFFEE $157.59 12/09,"('Starbucks', 'Food & Beverage')"
MCDONALD'S 1234 $166.9 08/01,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 1234 $14.88 12/17,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 1234 $200.26 02/16,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 1234 $75.78 04/01,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 1234 $499.17 12/20,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 1234 $490.11 04/12,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 1234 $393.78 05/03,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 1234 $442.84 02/09,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 1234 $59.22 12/01,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 1234 $328.72 07/28,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 1234 $154.16 12/15,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 1234 $116.19 07/13,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 1234 $75.88 10/15,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 1234 $29.39 04/15,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 1234 $378.39 03/07,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 1234 $435.81 03/26,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 1234 $135.89 12/16,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 1234 $307.16 07/24,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 1234 $7.83 02/29,"('McDonald's', 'Food & Beverage')"
MCDONALD'S 1234 $399.41 04/23,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $436.04 11/08,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $250.49 07/05,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $498.57 09/11,"('McDonald's', 'Food & Beverage')"
MCDONALD'S MEAL $77.1 08/08,"('McDonald's', 'Food & Beverage')"
